Speed,Distance,Obs Width,Obs Height,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
63,31,17,105,4,-1,0,release,-0.00010073872709709199
63,26,17,105,4,0,0,up,0.000018644476022281905
63,21,17,105,4,2,0,down,-0.02608515500000001
63,17,17,105,4,1,0,nothing,-0.17195000000000002
63,12,17,105,4,1,0,nothing,-1.3504233129128875
63,34,25,90,5,2,0,nothing,-0.00004691949464654226
63,29,25,90,5,2,0,nothing,-0.00018972083162546423
63,25,25,90,5,2,0,nothing,-0.001283989376837762
63,10,25,90,5,1,0,down,-0.47845557602078775
63,5,25,90,5,1,0,release,-2.7550705129188935
63,1,25,90,5,1,0,down,0.9998014245996327
63,-4,25,90,5,1,0,release,-0.009285796786223401
63,40,34,105,6,1,0,nothing,-0.004991429228276527
63,39,34,105,6,0,0,up,-0.0000025104167000616485
63,34,34,105,6,2,0,up,-0.00003289918134524846
63,29,34,105,6,2,0,nothing,-0.0005259284596938396
63,24,34,105,6,2,0,up,-0.0008083823071145826
63,19,34,105,6,2,0,up,-0.0039569080942470055
63,15,34,105,6,1,0,nothing,-0.6253515500000001
63,10,34,105,6,1,0,nothing,-0.7136377162422954
62,37,34,105,6,1,0,nothing,-0.0000022552745736299607
63,32,34,105,6,1,0,up,-0.0000504007652003219
63,27,34,105,6,-1,0,down,-0.0004136782333456734
63,23,34,105,6,-1,0,release,-0.005287079843765176
63,18,34,105,6,0,0,nothing,-0.23427950000000003
63,13,34,105,6,0,0,nothing,-2.342795
62,40,25,90,4,2,0,nothing,-0.010948420631178186
62,40,25,90,4,1,0,down,-0.009586880140507785
62,39,25,90,4,1,0,nothing,-0.0000018914035936247747
63,34,25,90,4,1,0,nothing,-0.0001231688188596334
63,29,25,90,4,1,0,nothing,-0.0023427950000000004
63,24,25,90,4,-1,0,down,-0.020475500000000008
63,20,25,90,4,-1,0,release,-0.20475500000000002
63,15,25,90,4,0,0,down,-1.7195
63,29,25,90,5,2,0,up,-0.0005585818397634223
63,24,25,90,5,2,0,down,-0.020600376165050005
63,20,25,90,5,1,0,release,-0.14874888605000003
63,15,25,90,5,1,0,nothing,-1.5861949567605031
63,25,25,90,5,1,0,nothing,-0.015124771784641899
63,20,25,90,5,1,0,nothing,-0.20475500000000002
62,40,25,90,4,1,0,release,-0.007187512844129977
62,40,25,90,4,1,0,up,-0.01082095428636026
62,40,25,90,4,-1,0,up,-0.010617344187177276
62,39,25,90,4,0,0,down,-0.000002899488145160107
63,34,25,90,4,-1,0,nothing,-0.00014921303712567199
63,29,25,90,4,-1,0,down,-0.0009076912127310916
63,24,25,90,4,-1,0,release,-0.0025135711840913637
63,20,25,90,4,0,0,nothing,-0.095
63,15,25,90,4,0,0,up,-2.04755
62,39,25,90,6,0,0,down,-0.0000066424911820297104
63,35,25,90,6,-1,0,release,-0.000017843058198991262
63,30,25,90,6,0,0,up,-0.0005190277087668032
63,25,25,90,6,2,0,down,-0.018632705000000003
63,20,25,90,6,1,0,release,-0.21080286050000002
63,15,25,90,6,1,0,up,-1.7184516496327045
63,29,25,90,5,0,0,up,-0.0004958534315878376
63,40,25,90,6,1,0,nothing,-0.006095612014491024
63,37,25,90,6,1,0,up,-0.000003134507632522758
63,32,25,90,6,1,0,down,-0.00008979804265932709
63,27,25,90,6,-1,0,release,-0.00004025482647517649
63,23,25,90,6,0,0,nothing,-0.004765197093779707
63,18,25,90,6,0,0,down,-0.1355
63,13,25,90,6,-1,0,release,-3.062897555
63,29,25,90,4,2,0,up,-0.0003217058883401659
63,20,25,90,4,2,0,up,-0.0062955260190306755
63,15,25,90,4,2,0,nothing,0.010939637655705827
63,10,25,90,4,1,0,down,-1.684401049050864
63,5,25,90,4,1,0,nothing,0.6341781571744302
63,24,25,90,5,2,0,nothing,0.00010805028327534234
63,40,25,90,5,1,0,up,-0.00897756246453933
63,40,25,90,5,1,0,nothing,-0.006335335896557158
63,36,25,90,5,-1,0,down,4.867881824308651e-7
63,31,25,90,5,-1,0,release,-0.00005219734304369764
63,26,25,90,5,0,0,down,-0.0012695000000000002
63,21,25,90,5,-1,0,nothing,-0.09905000000000001
63,16,25,90,5,-1,0,down,-0.9905
63,12,25,90,5,-1,0,nothing,-3.43094701955
63,34,25,90,5,2,0,up,-0.00008787105550537535
63,30,25,90,5,2,0,up,-0.0005450000000000001
63,15,25,90,5,1,0,down,-1.1815426482524263
63,10,25,90,5,1,0,nothing,-3.432185194273062
63,27,34,105,6,-1,0,nothing,-0.0023427950000000004
63,23,34,105,6,-1,0,up,-0.020475500000000008
63,18,34,105,6,-1,0,up,-0.26085155000000004
63,13,34,105,6,-1,0,down,-3.587852317595
62,39,25,90,6,-1,0,down,-0.0000013550000000000004
63,34,25,90,6,-1,0,nothing,-0.00017579836439995434
63,29,25,90,6,-1,0,down,-0.001195154970321354
63,24,25,90,6,-1,0,nothing,-0.030628975550000007
63,20,25,90,6,-1,0,down,-0.28476639500000006
63,15,25,90,6,-1,0,release,-3.8561603772519497
63,25,25,90,5,2,0,up,0.00000500647850271873
63,20,25,90,5,2,0,nothing,-0.0003136018797451495
63,5,25,90,5,1,0,down,-0.5097162739482434
63,1,25,90,5,1,0,nothing,0.6054586501780346
63,-4,25,90,5,1,0,down,-0.010325791296786152
63,40,25,90,5,-1,0,nothing,-0.009149041779851047
63,40,25,90,5,-1,0,up,-0.009793294165070807
63,35,25,90,5,-1,0,up,-0.00009500000000000003
63,30,25,90,5,-1,0,down,-0.0011613249083365165
63,25,25,90,5,-1,0,nothing,-0.017195000000000005
63,20,25,90,5,-1,0,down,-0.23427950000000003
63,16,25,90,5,-1,0,nothing,-1.7195
62,39,25,90,6,0,0,nothing,-0.000005006697427790605
63,34,25,90,6,0,0,nothing,-0.00013600606410626626
63,29,25,90,6,0,0,down,-0.0010499151451395287
63,24,25,90,6,-1,0,release,-0.002504879152332394
63,20,25,90,6,0,0,down,-0.17195000000000002
62,40,51,105,6,0,0,down,-0.010083312886245935
62,40,51,105,6,-1,0,release,-0.00026847684720691326
62,40,51,105,6,0,0,up,-0.010838649461220182
62,40,51,105,6,2,0,up,-0.010948390325534926
62,40,51,105,6,1,0,down,-0.009602886222780662
62,40,51,105,6,1,0,nothing,-0.0083975941323996
62,40,51,105,6,-1,0,nothing,-0.010875552136427952
62,40,51,105,6,-1,0,down,-0.009609718391605272
62,40,51,105,6,-1,0,up,-0.010690489386889315
62,38,51,105,6,-1,0,nothing,-0.000004550225263263569
62,34,51,105,6,-1,0,nothing,-0.00009801511259181206
63,29,51,105,6,-1,0,nothing,-0.0035878523175950005
63,24,51,105,6,-1,0,nothing,-0.030628975550000007
63,19,51,105,6,-1,0,nothing,-0.30628975550000004
63,15,51,105,6,-1,0,down,-2.04755
63,34,25,90,6,0,0,down,-0.00014164208673328278
63,29,25,90,6,-1,0,nothing,-0.0026085155000000002
63,24,25,90,6,-1,0,down,-0.02608515500000001
63,19,25,90,6,-1,0,nothing,-0.20475500000000002
63,15,25,90,6,-1,0,down,-3.8561603772519497
62,39,25,90,5,1,0,release,-0.000006592903089641256
63,34,25,90,5,0,0,nothing,-0.00009049019426871777
63,30,25,90,5,0,0,down,-0.0007740975465458219
63,25,25,90,5,-1,0,release,-0.00923100606310672
63,20,25,90,5,0,0,up,-0.0030531581990117097
63,6,25,90,5,2,0,down,1.0998876043072467
63,1,25,90,5,1,0,release,0.992652357326763
63,-4,25,90,5,1,0,up,-0.010273381447505755
63,40,25,90,4,1,0,down,-0.007665007428978594
63,40,25,90,4,1,0,release,-0.007937048215405872
63,40,25,90,4,0,0,nothing,-0.00022345927136187691
63,35,25,90,4,0,0,up,-0.000048062320196429106
63,30,25,90,4,2,0,up,-0.00009500000000000003
63,26,25,90,4,2,0,up,-0.0018927950000000003
63,21,25,90,4,2,0,down,-0.013550000000000003
63,16,25,90,4,1,0,release,-0.05
63,11,25,90,4,1,0,up,-1.245245
62,37,34,105,6,1,0,down,-0.0000016424369547691427
63,32,34,105,6,1,0,nothing,-0.0001491982489841657
63,28,34,105,6,1,0,nothing,-0.0004796146272603889
63,23,34,105,6,0,0,down,-0.02342795000000001
63,18,34,105,6,-1,0,release,-0.23427950000000003
63,24,25,90,4,2,0,down,-0.013473050000000004
63,20,25,90,4,1,0,release,-0.1932185345
63,15,25,90,4,1,0,nothing,-1.4017573546322508
