Speed,Time To Collision,Obs Width,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
21,20,6,3,-1,0,duck_off,-2
20,48,5,3,2,0,duck_off,-0.0020000000000000005
20,39,5,3,2,0,duck_on,-0.020000000000000004
20,30,5,3,-1,0,duck_on,-0.2
20,21,5,3,-1,0,do_nothing,-2
20,31,5,2,1,0,jump,-0.2
21,22,5,2,-1,0,duck_on,-2
20,1,3,1,-1,0,duck_off,-2.18
20,20,5,2,2,0,jump,-2
20,25,10,4,1,0,do_nothing,-1.4070000398000002
20,0,5,2,-1,0,duck_on,-10.680335054334199
20,25,10,4,-1,0,jump,-2
20,0,5,2,-1,0,jump,-10.46592019796762
20,31,6,3,-1,0,duck_off,-0.2
21,21,6,3,2,0,duck_off,-2
20,29,3,1,1,0,jump,0.004800000000000001
21,19,3,1,2,0,jump,0.5732
21,10,3,1,2,0,jump,0.48
21,0,3,1,1,0,duck_off,-0.2
21,17,6,3,1,0,duck_off,-2
20,38,3,2,1,0,jump,-0.020000000000000004
21,28,3,2,2,0,duck_on,-0.2
21,19,3,2,1,0,do_nothing,-2
20,0,5,3,-1,0,duck_on,-0.39634579999999997
20,44,6,3,-1,0,duck_off,-0.0020000000000000005
21,34,6,3,2,0,jump,-0.020000000000000004
21,25,6,3,2,0,duck_on,-0.2
21,15,6,3,1,0,duck_off,-2
20,50,5,3,1,0,duck_on,-2.3316689294000366
20,0,5,3,1,0,do_nothing,-0.00020000000000000006
20,46,3,2,1,0,duck_off,-0.0020000000000000005
21,36,3,2,2,0,do_nothing,-0.020000000000000004
21,27,3,2,2,0,duck_on,-0.2
21,17,3,2,-1,0,do_nothing,-2
20,0,5,3,-1,0,duck_off,-0.38162
20,44,3,2,2,0,duck_on,-0.020000000000000004
21,34,3,2,-1,0,duck_off,-0.2
21,25,3,2,2,0,do_nothing,-2
20,0,5,3,-1,0,jump,-0.23416355000000003
20,45,5,3,-1,0,duck_off,0.0005500000000000001
21,35,5,3,2,0,jump,-1.941585495545
21,25,5,3,2,0,jump,0.05500000000000001
21,16,5,3,2,0,duck_off,1.04482
21,6,5,3,1,0,duck_on,0.49800000000000005
21,-3,5,3,1,0,jump,-0.020000000000000004
21,37,3,2,-1,0,do_nothing,-0.2
21,27,3,2,-1,0,duck_on,-2
20,38,5,3,1,0,duck_on,-0.21800000000000003
20,29,5,3,1,0,duck_off,-0.2
