velocity,distance,width,jumpVelocity,action,q_value
12,3,17,0,do_nothing,0.010000000000000002
30,4,25,1,jump,-0.4554305240659588
30,4,25,1,do_nothing,-0.45920332456452345
30,4,25,-1,do_nothing,-0.5826185179341958
30,4,25,-1,jump,-0.6028177121414551
30,4,25,-1,duck,-0.6041478080119443
28,4,25,0,do_nothing,-0.001960977799116123
26,4,25,0,jump,-0.021725565770649907
25,4,25,-1,duck,-0.0025560999999999987
23,4,25,-1,do_nothing,0.11263975915373294
22,4,25,-1,do_nothing,0.0874296892843489
20,4,25,-1,do_nothing,0.11592346308946765
19,4,25,-1,jump,0.010000000000000002
18,4,25,-1,jump,1.4100886993169828
14,4,25,-1,duck,1.15120860092632
9,4,25,1,do_nothing,6.224124720046762
8,4,25,1,jump,5.724950841192762
7,4,25,1,do_nothing,3.371848110707159
5,4,25,1,duck,6.991604477399449
4,4,25,1,duck,0.010000000000000002
3,4,25,1,duck,7.727713268570542
2,4,25,1,jump,0.28800190000000003
0,4,25,1,jump,10.61490782106894
29,6,25,-1,duck,-0.062045410059795435
28,6,25,-1,do_nothing,-0.07373780289174174
26,6,25,-1,duck,-0.02548875823836764
25,6,25,-1,jump,-0.0000999999999999994
24,6,25,-1,jump,2.9726854487195657
23,6,25,-1,do_nothing,2.284911325362448
21,6,25,-1,jump,3.281627355045038
20,6,25,-1,do_nothing,1.2782047477353924
19,6,25,-1,do_nothing,2.650882710724898
18,6,25,-1,jump,3.629726174521681
16,6,25,-1,jump,6.831967306742754
15,6,25,-1,do_nothing,3.3506068332557444
14,6,25,1,duck,13.87130601975051
11,6,25,1,duck,0.010000000000000002
10,6,25,1,duck,0.010000000000000002
10,6,25,1,jump,14.614276649877322
9,6,25,1,jump,14.625053866135659
7,6,25,1,duck,17.91971488446294
6,6,25,1,jump,19.82070165115733
5,6,25,1,duck,20.70130734774275
4,6,25,1,duck,0.028081000000000002
2,6,25,1,duck,17.283046514107067
1,6,25,1,do_nothing,14.953097116652788
0,6,25,1,duck,16.024411227163377
-1,6,25,1,jump,12.309267389914265
-3,6,25,-1,jump,0.45003005504013766
-4,6,25,-1,jump,-0.013546359100000002
29,6,34,1,duck,-0.043248965174229964
26,6,34,1,do_nothing,-0.02042966011323748
24,6,34,1,jump,2.6936213702415315
21,6,34,1,jump,7.98779521786953
20,6,34,1,do_nothing,7.101390608288135
19,6,34,1,duck,4.403915258373686
17,6,34,1,duck,5.505317254574621
16,6,34,1,jump,0.010000000000000002
15,6,34,1,jump,9.407856172916034
14,6,34,1,do_nothing,8.307770954624885
13,6,34,1,jump,8.777578600985013
12,6,34,-1,do_nothing,0.08518076663284219
11,6,34,-1,do_nothing,1.218196970466585
10,6,34,-1,do_nothing,1.282998077123695
8,6,34,-1,do_nothing,2.04042875370801
7,6,34,-1,jump,3.9518716650465846
6,6,34,-1,do_nothing,0.010000000000000002
5,6,34,-1,do_nothing,2.35391817991934
3,6,34,-1,jump,2.24628693152866
2,6,34,-1,do_nothing,6.311688957598086
1,6,34,-1,duck,8.899653921805896
0,6,34,-1,do_nothing,10.26141955259396
-1,6,34,-1,do_nothing,11.107568423921602
-3,6,34,-1,do_nothing,8.376185753464421
-4,6,34,1,jump,-0.01592285467540567
29,3,17,0,do_nothing,-0.028810000000000002
28,3,17,0,jump,-0.0199
27,3,17,0,duck,-0.0199
26,3,17,0,do_nothing,-0.01706195341
22,3,17,0,do_nothing,1.0393503931
18,3,17,0,jump,1.12170856034161
13,3,17,-1,duck,2.01231793
8,3,17,-1,jump,1.01152
4,3,17,-1,jump,2.80891
3,3,17,-1,do_nothing,1.99891
1,3,17,-1,do_nothing,1.9900000000000002
0,3,17,-1,duck,2.7910000000000004
-1,3,17,1,duck,3.804412884539836
-2,3,17,1,jump,-0.0199
26,6,25,1,do_nothing,3.176162406399322
25,6,25,1,do_nothing,4.4157008076920095
21,6,25,1,do_nothing,7.855216415147068
16,6,25,1,do_nothing,12.41403466120099
12,6,25,0,jump,3.479781981248104
30,6,25,0,jump,-0.48466507135588927
29,6,25,1,do_nothing,-0.038899181055602264
28,6,25,1,do_nothing,2.144773605364495
27,6,25,0,duck,-0.019000000000000003
25,6,25,0,jump,-0.010000000000000002
24,6,25,0,jump,0.1651017763998933
23,6,25,0,do_nothing,1.1060519783841698
21,6,25,0,do_nothing,1.0793440085764003
20,6,25,0,duck,1.2991606131025888
19,6,25,0,duck,0.05354762955400001
18,6,25,0,jump,3.32688485219614
16,6,25,0,jump,1.05413495779
15,6,25,0,jump,1.1243352610000001
14,6,25,0,do_nothing,0.019981000000000006
29,6,34,-1,do_nothing,-0.05614265454577634
27,6,34,-1,do_nothing,-0.04515323560253833
26,6,34,-1,do_nothing,-0.0240992743068483
25,6,34,-1,jump,-0.008112224933603276
24,6,34,-1,do_nothing,0.17152294558015618
22,6,34,1,duck,0.010900000000000002
18,6,34,1,do_nothing,8.85802959224057
16,6,34,1,do_nothing,7.505517388094498
12,6,34,1,jump,8.706860354737056
11,6,34,1,do_nothing,10.768523156080596
10,6,34,1,do_nothing,8.269814756356416
29,5,25,0,jump,-0.04683976292627974
27,5,25,-1,duck,-0.058884857478811906
18,5,25,-1,jump,2.1002723080537278
9,5,25,1,jump,9.640592012720813
4,5,25,1,duck,14.815571959790887
30,6,25,0,do_nothing,0.7477161759747044
29,6,25,0,do_nothing,0.15518857893248705
28,6,25,0,duck,-0.04807516272698565
27,6,25,0,jump,-0.028488617827855216
26,6,25,0,do_nothing,1.1032655443564678
25,6,25,0,do_nothing,1.1672240938873781
22,6,25,0,duck,1.072921949076366
17,6,25,0,do_nothing,1.0536514980391
13,6,25,0,do_nothing,2.001907
29,6,51,0,jump,-0.07016828510590696
27,6,51,0,jump,-0.03328989873980292
26,6,51,0,jump,-0.0340600428541232
25,6,51,0,duck,0.05622771949924701
18,6,51,0,do_nothing,0.011710000000000002
29,5,25,-1,do_nothing,-0.07575104606545462
27,5,25,-1,jump,-0.05296962121221363
13,5,25,1,do_nothing,9.002168582863511
29,6,51,0,duck,-0.06952816032739155
28,6,51,0,jump,-0.05357314489739834
26,6,51,0,duck,-0.03544641018842381
25,6,51,0,jump,-0.011873440899999999
21,6,51,0,do_nothing,0.011871190000000002
14,6,51,-1,jump,2.109837324000667
9,6,51,-1,do_nothing,1.935594693448831
4,6,51,-1,duck,3.5109616916575854
-7,6,51,1,do_nothing,0.2872414548557305
-8,6,51,1,duck,-0.021821601335901927
30,6,25,0,duck,0.24302043231050494
28,6,25,0,do_nothing,0.12911276721037956
